dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb,pitch_count
2014-05-15,140515_193531nyn,,6,6,594798,150093,9,Strikeout,S,72,3.49,1.65,-3.776,7.991,FF,18,0.925,R,2,3,R,gid_2014_05_15_nyamlb_nynmlb_1/,Swinging Strike,205.154,-0.747826,2,nyn,0.0726226397619,-136.403208795,0.294174616574,-4.13101167909,9.11044829945,-4.13101167909,9.11044829945,-1.04111791442,55,5.90828987299,6.14989254092,-140.269972991,-6.97901352261,-7.95600010681,35.6609984436,-14.6330007935,95.85,0.79005696728,1.91259063369,0.783,1.882,32,31
2014-05-15,140515_193611nyn,,3,1,594798,500208,10,Grounded Into DP,S,76,3.16,1.45,-5.978,6.271,FF,10,0.788,L,0,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Called Strike,223.426,0.167251,2,nyn,0.0736762871141,-134.557759512,0.297174281539,-6.3065761874,7.44050899976,-6.3065761874,7.44050899976,-1.25819462917,55,5.84539881992,2.83386894282,-138.056222714,-4.57536752447,-11.902000206,31.7909995117,-18.1370005035,94.2,-1.09102435325,2.47843716806,-1.109,2.448,0,32
2014-05-15,140515_193631nyn,,3,2,594798,500208,10,Grounded Into DP,S,77,3.16,1.45,-4.832,3.771,CH,21,0.845,L,1,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Swinging Strike,231.652,-1.4269,2,nyn,0.0809074671293,-122.433970427,0.327759308844,-5.25700673352,5.24411523479,-5.25700673352,5.24411523479,-1.11284106604,55,5.72877065009,3.39236549174,-125.909876872,-4.80385785521,-8.15599991608,28.7739993134,-24.0430006409,85.94,-0.411679059759,1.15520607922,-0.399,1.085,1,33
2014-05-15,140515_193655nyn,,3,3,594798,500208,10,Grounded Into DP,X,78,3.16,1.45,-7.6,-2.004,CH,15,0.848,L,2,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,"In play, out(s)",284.43,-0.569591,2,nyn,0.0824677113434,-120.216156807,0.332591896413,-7.98701666816,-0.38229271774,-7.98701666816,-0.38229271774,-1.1766237032,55,5.60705127208,1.85691152883,-123.333184265,-0.685523865742,-12.0340001755,25.3049994507,-32.7549986267,84.1,-1.58017824683,1.89261593024,-1.575,1.818,2,34
2014-05-15,140515_194637nyn,,2,1,594798,406878,14,Flyout,S,102,3.29,1.54,5.425,-4.481,CU,17,0.85,L,0,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Called Strike,50.7719,-0.859429,3,nyn,0.0868701451627,-114.194695837,0.349176312107,4.73821424121,-2.64526487227,4.73821424121,-2.64526487227,-1.35684129213,55,5.88107158648,0.928989508487,-116.942800299,-0.025580885429,6.47699998093,21.1729994812,-35.7949995422,79.74,-0.168947443822,1.76298078039,-0.122,1.663,0,35
2014-05-15,140515_194652nyn,,2,2,594798,406878,14,Flyout,X,103,3.29,1.54,-3.853,8.489,FF,10,0.885,L,1,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,"In play, out(s)",204.275,0.147429,3,nyn,0.0740972466749,-133.778560454,0.299050828878,-4.2186577935,9.63981032757,-4.2186577935,9.63981032757,-1.37740935898,55,5.73090779924,2.50652411071,-137.301031616,-4.79617486723,-7.8619997673,31.8290015259,-14.2140001678,93.69,-1.01033280884,2.57279804086,-1.023,2.544,1,36
2014-05-15,140515_194727nyn,,3,1,594798,595032,15,Single,B,107,3.38,1.5,-4.442,7.421,FF,14,0.755,R,0,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,210.738,0.28617,3,nyn,0.0745174108635,-133.133648544,0.299416556996,-4.80023406944,8.59136500909,-4.80023406944,8.59136500909,-1.28171667769,55,5.92945193742,7.24460670498,-136.310742062,-4.4392125235,-8.92399956512,28.5350009003,-16.2070001984,93.12,0.941211433032,2.73881321051,0.941,2.709,0,37
2014-05-15,140515_194739nyn,,3,2,594798,595032,15,Single,S,108,3.38,1.5,-2.831,8.266,FF,17,0.892,R,0,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,Called Strike,198.782,-0.43617,3,nyn,0.0741152344992,-133.769051495,0.298845507834,-3.21189595541,9.41866718199,-3.21189595541,9.41866718199,-1.20606368405,55,5.8299479461,3.91031672252,-137.222371061,-6.20872209206,-5.99400021362,31.1939993896,-14.6020006561,93.69,-0.107287627825,2.06259144958,-0.114,2.03,10,38
2014-05-15,140515_194752nyn,,3,3,594798,595032,15,Single,X,109,3.38,1.5,-4.213,6.79,FF,13,0.884,R,1,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,"In play, no out",211.639,0.221277,3,nyn,0.0738007991742,-134.399776125,0.296852543743,-4.56821513708,7.94996364278,-4.56821513708,7.94996364278,-1.17374132394,55,5.75817879895,5.69099854805,-137.686926716,-4.08099759642,-8.64000012207,29.8129988708,-17.142999115,94.0,0.427128062318,2.67614854781,0.42,2.648,11,39
2014-05-15,140515_194845nyn,,5,1,594798,458731,16,Walk,B,113,3.08,1.48,-7.466,3.261,CH,20,0.809,L,0,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball In Dirt,246.086,-2.5025,3,nyn,0.0809757838735,-122.384423104,0.327250810093,-7.8430698061,4.7375847352,-7.8430698061,4.7375847352,-1.30050652889,55,5.67185206266,3.71065370853,-125.697601466,-6.30895153814,-12.2060001068,27.3979998627,-24.8059992218,85.85,-0.863339048702,0.35305015265,-0.856,0.278,0,40
